id,party,list,slug,symbol_name,symbol_URL
1,PD,PD/+Europa,pd--europa,pd.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/pd.jpg
2,+Europa,PD/+Europa,pd--europa,europa.png,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/europa.png
3,Fratelli d'Italia,Lega/FI/FdI,lega-fi-fdi,lega-fi-fdi.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/lega-fi-fdi.jpg
4,Lega,Lega/FI/FdI,lega-fi-fdi,lega-fi-fdi.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/lega-fi-fdi.jpg
5,Forza Ialia,Lega/FI/FdI,lega-fi-fdi,lega-fi-fdi.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/lega-fi-fdi.jpg
6,Azione,Azione/IV,azione-iv,azione-iv.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/azione-iv.jpg
7,Italia Viva,Azione/IV,azione-iv,azione-iv.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/azione-iv.jpg
8,NOI con l'ITALIA,NOI moderati,noi-moderati,noi-moderati.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/noi-moderati.jpg
9,Coraggio Italia,NOI moderati,noi-moderati,noi-moderati.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/noi-moderati.jpg
10,Italia al Centro,NOI moderati,noi-moderati,noi-moderati.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/noi-moderati.jpg
11,Europa Verde,Alleanza Verdi e Sinistra,alleanza-verdi-e-sinistra,alleanza-verdi-e-sinistra.png,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/alleanza-verdi-e-sinistra.png
12,Sinistra Italiana,Alleanza Verdi e Sinistra,alleanza-verdi-e-sinistra,alleanza-verdi-e-sinistra.png,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/alleanza-verdi-e-sinistra.png
13,Impegno Civico,Impegno Civico,impegno-civico,impegno-civico.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/impegno-civico.jpg
14,Centro Democratico,Impegno Civico,impegno-civico,impegno-civico.jpg,https://raw.githubusercontent.com/angelogulina/indecis.it/main/public/symbols/impegno-civico.jpg
15,Movimento 5 Stelle,test,test,,
16,Liberi uguali,test,test,,
17,Il popolo della famiglia,test,test,,
18,Democrazia cristiana,test,test,,
